"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Barry French,Nunavut,Appliances,0.58
"Cardinal Slant-D� Ring Binder, Heavy Gauge Vinyl",Barry French,Nunavut,Binders and Binder Accessories,0.39
R380,Clay Rozendal,Nunavut,Telephones and Communication,0.58
Holmes HEPA Air Purifier,Carlos Soltero,Nunavut,Appliances,0.5
G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Carlos Soltero,Nunavut,Office Furnishings,0.37
"Angle-D Binders with Locking Rings, Label Holders",Carl Jackson,Nunavut,Binders and Binder Accessories,0.38
"SAFCO Mobile Desk Side File, Wire Frame",Carl Jackson,Nunavut,Storage & Organization,
"SAFCO Commercial Wire Shelving, Black",Monica Federle,Nunavut,Storage & Organization,
Xerox 198,Dorothy Badders,Nunavut,Paper,0.38
Xerox 1980,Neola Schneider,Nunavut,Paper,0.4
Advantus Map Pennant Flags and Round Head Tacks,Neola Schneider,Nunavut,Rubber Bands,0.5350 4-1/4 x 5-1/2 Forms per Pad
Holmes HEPA Air Purifier,Carlos Daly,Nunavut,Appliances,0.5
"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Carlos Daly,Nunavut,Computer Peripherals,0.71
"Wilson Jones 1"" Hanging DublLock� Ring Binders",Claudia Miner,Nunavut,Binders and Binder Accessories,0.37
Ultra Commercial Grade Dual Valve Door Closer,Neola Schneider,Nunavut,Office Furnishings,0.53
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Allen Rosenblatt,Nunavut,Envelopes,0.4
Hon 4-Shelf Metal Bookcases,Sylvia Foulston,Nunavut,Bookcases,0.6
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Sylvia Foulston,Nunavut,Tables,0.68
g520,Jim Radford,Nunavut,Telephones and Communication,0.59
LX 788,Jim Radford,Nunavut,Telephones and Communication,0.58
Avery 52,Carlos Soltero,Nunavut,Labels,0.38
Plymouth Boxed Rubber Bands by Plymouth,Carlos Soltero,Nunavut,Rubber Bands,0.8
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Carl Ludwig,Nunavut,Binders and Binder Accessories,0.37
"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Carl Ludwig,Nunavut,Computer Peripherals,0.66
Newell 335,Don Miller,Nunavut,Pens & Art Supplies,0.56
SANFORD Liquid Accent� Tank-Style Highlighters,Annie Cyprus,Nunavut,Pens & Art Supplies,0.54
Canon PC940 Copier,Carl Ludwig,Nunavut,Copiers and Fax,0.38
"Tenex Personal Project File with Scoop Front Design, Black",Carlos Soltero,Nunavut,Storage & Organization,0.59
Col-Erase� Pencils with Erasers,Grant Carroll,Nunavut,Pens & Art Supplies,0.56
"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Don Miller,Nunavut,Computer Peripherals,0.75
"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Don Miller,Nunavut,Paper,0.36
Self-Adhesive Address Labels for Typewriters by Universal,Alan Barnes,Nunavut,Labels,0.38
Accessory37,Alan Barnes,Nunavut,Telephones and Communication,0.81
Fuji 5.2GB DVD-RAM,Jack Garza,Nunavut,Computer Peripherals,0.55
Bevis Steel Folding Chairs,Julia West,Nunavut,Chairs & Chairmats,0.57
Avery Binder Labels,Eugene Barchas,Nunavut,Binders and Binder Accessories,0.37
Hon Every-Day� Chair Series Swivel Task Chairs,Eugene Barchas,Nunavut,Chairs & Chairmats,0.64
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Eugene Barchas,Nunavut,Paper,0.4
Global Troy� Executive Leather Low-Back Tilter,Edward Hooks,Nunavut,Chairs & Chairmats,0.6
XtraLife� ClearVue� Slant-D� Ring Binders by Cardinal,Brad Eason,Nunavut,Binders and Binder Accessories,0.35
Computer Printout Paper with Letter-Trim Perforations,Nicole Hansen,Nunavut,Paper,0.37
6160,Dorothy Wardle,Nunavut,Telephones and Communication,0.57
Avery 49,Aaron Bergman,Nunavut,Labels,0.36
Hoover Portapower� Portable Vacuum,Jim Radford,Nunavut,Appliances,0.6
Timeport L7089,Annie Cyprus,Nunavut,Telephones and Communication,0.58
Avery 510,Annie Cyprus,Nunavut,Labels,0.37
Xerox 1881,Annie Cyprus,Nunavut,Paper,0.38
LX 788,Annie Cyprus,Nunavut,Telephones and Communication,0.58
"Cardinal Slant-D� Ring Binder, Heavy Gauge Vinyl",Annie Cyprus,Nunavut,Binders and Binder Accessories,0.39
"Memorex 4.7GB DVD-RAM, 3/Pack",Clay Rozendal,Nunavut,Computer Peripherals,0.42
Unpadded Memo Slips,Don Jones,Nunavut,Paper,0.35
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Beth Thompson,Nunavut,Paper,0.36
"Eldon Expressions� Desk Accessory, Wood Pencil Holder, Oak",Frank Price,Nunavut,Office Furnishings,0.55
Bell Sonecor JB700 Caller ID,Michelle Lonsdale,Nunavut,Telephones and Communication,0.6
Avery Arch Ring Binders,Ann Chong,Nunavut,Binders and Binder Accessories,0.38
APC 7 Outlet Network SurgeArrest Surge Protector,Ann Chong,Nunavut,Appliances,0.55
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Joy Bell,Nunavut,Office Furnishings,0.67
Accessory4,Joy Bell,Nunavut,Telephones and Communication,0.85
Personal Creations� Ink Jet Cards and Labels,Skye Norling,Nunavut,Paper,0.36
High Speed Automatic Electric Letter Opener,Barry Weirich,Nunavut,"Scissors, Rulers and Trimmers",0.81
Xerox 1966,Grant Carroll,Nunavut,Paper,0.36
Xerox 213,Grant Carroll,Nunavut,Paper,0.37
"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Adrian Hane,Nunavut,Pens & Art Supplies,0.57
Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Skye Norling,Nunavut,Paper,0.36
"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Skye Norling,Nunavut,Paper,0.39
Crate-A-Files�,Andrew Gjertsen,Nunavut,Storage & Organization,0.59
"Angle-D Binders with Locking Rings, Label Holders",Ralph Knight,Nunavut,Binders and Binder Accessories,0.38
"80 Minute CD-R Spindle, 100/Pack - Staples",Dorothy Wardle,Nunavut,Computer Peripherals,0.54
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Dorothy Wardle,Nunavut,Bookcases,0.78
12-1/2 Diameter Round Wall Clock,Dorothy Wardle,Nunavut,Office Furnishings,0.49
SAFCO Arco Folding Chair,Grant Carroll,Nunavut,Chairs & Chairmats,
"#10 White Business Envelopes,4 1/8 x 9 1/2",Barry Weirich,Nunavut,Envelopes,0.38
3M Office Air Cleaner,Beth Paige,Nunavut,Appliances,0.5
"Global Leather and Oak Executive Chair, Black",Sylvia Foulston,Nunavut,Chairs & Chairmats,0.56
Xerox 1936,Nicole Hansen,Nunavut,Paper,0.38
Xerox 214,Nicole Hansen,Nunavut,Paper,0.37
Carina Double Wide Media Storage Towers in Natural & Black,Nicole Hansen,Nunavut,Storage & Organization,0.81
Staples� General Use 3-Ring Binders,Beth Paige,Nunavut,Binders and Binder Accessories,0.37
Xerox 1904,Beth Paige,Northwest Territories,Paper,0.36
Luxo Professional Combination Clamp-On Lamps,Beth Paige,Northwest Territories,Office Furnishings,0.59
Xerox 217,Beth Paige,Northwest Territories,Paper,0.37
Revere Boxed Rubber Bands by Revere,Beth Paige,Northwest Territories,Rubber Bands,0.83
"Acco Smartsocket� Table Surge Protector, 6 Color-Coded Adapter Outlets",Sylvia Foulston,Northwest Territories,Appliances,0.55
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Bryan Davis,Northwest Territories,Storage & Organization,0.8
Hon 4070 Series Pagoda� Round Back Stacking Chairs,Joy Bell,Northwest Territories,Chairs & Chairmats,0.57
Xerox 1887,Joy Bell,Northwest Territories,Paper,0.37
Xerox 1891,Joy Bell,Northwest Territories,Paper,0.38
Avery 506,Alan Barnes,Northwest Territories,Labels,0.39
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Grant Carroll,Northwest Territories,Bookcases,0.65
"Lifetime Advantage� Folding Chairs, 4/Carton",Grant Carroll,Northwest Territories,Chairs & Chairmats,0.57
Microsoft Natural Multimedia Keyboard,Grant Carroll,Northwest Territories,Computer Peripherals,0.73
"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Delfina Latchford,Northwest Territories,Paper,0.36
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Don Jones,Northwest Territories,Binders and Binder Accessories,0.37
Bevis Boat-Shaped Conference Table,Doug Bickford,Northwest Territories,Tables,0.75
"Linden� 12"" Wall Clock With Oak Frame",Doug Bickford,Northwest Territories,Office Furnishings,0.55
Newell 326,Doug Bickford,Northwest Territories,Pens & Art Supplies,0.56
Prismacolor Color Pencil Set,Jamie Kunitz,Northwest Territories,Pens & Art Supplies,0.44
Xerox Blank Computer Paper,Anthony Johnson,Northwest Territories,Paper,0.38
600 Series Flip,Ralph Knight,Northwest Territories,Telephones and Communication,0.57
Fellowes Recycled Storage Drawers,Allen Rosenblatt,Northwest Territories,Storage & Organization,0.78
Satellite Sectional Post Binders,Barry Weirich,Northwest Territories,Binders and Binder Accessories,0.39
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Doug Bickford,Northwest Territories,Office Furnishings,0.61
Avery 487,Carl Jackson,Northwest Territories,Labels,0.38
Bevis Round Conference Table Top & Single Column Base,Brendan Dodson,Northwest Territories,Tables,0.65
"GBC Twin Loop� Wire Binding Elements, 9/16"" Spine, Black",Edward Hooks,Northwest Territories,Binders and Binder Accessories,0.36
Hanging Personal Folder File,Jamie Kunitz,Northwest Territories,Storage & Organization,0.6
"Bevis Round Conference Table Top, X-Base",Jamie Kunitz,Northwest Territories,Tables,0.74
5125,Michelle Lonsdale,Northwest Territories,Telephones and Communication,0.59
Electrix Halogen Magnifier Lamp,Michelle Lonsdale,Northwest Territories,Office Furnishings,0.59
Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Brendan Dodson,Northwest Territories,Office Machines,0.36
Fellowes Black Plastic Comb Bindings,Hunter Glantz,Northwest Territories,Binders and Binder Accessories,0.39
Polycom ViewStation� Adapter H323 Videoconferencing Unit,Sylvia Foulston,Northwest Territories,Office Machines,0.38
Hon GuestStacker Chair,Eugene Barchas,Northwest Territories,Chairs & Chairmats,0.59
Eldon� Wave Desk Accessories,Jim Radford,Northwest Territories,Office Furnishings,0.43
Sharp AL-1530CS Digital Copier,Carlos Soltero,Northwest Territories,Copiers and Fax,0.36
"Tennsco Lockers, Gray",Carlos Soltero,Northwest Territories,Storage & Organization,0.78
"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Carlos Soltero,Northwest Territories,Labels,0.39
Newell 323,Carlos Soltero,Northwest Territories,Pens & Art Supplies,0.59
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Jim Radford,Northwest Territories,Chairs & Chairmats,0.77
Spiral Phone Message Books with Labels by Adams,Jim Radford,Northwest Territories,Paper,0.36
